path,function,time,blocks,matrix
./data/kernels/16910/22/main.cu,computePCfeatures,25.33,"(1, 320)","(1680, 1680)"
./data/kernels/16910/22/main.cu,computePCfeatures,25.81,"(1, 384)","(1680, 1680)"
./data/kernels/16910/22/main.cu,computePCfeatures,25.47,"(1, 448)","(1680, 1680)"
./data/kernels/16910/22/main.cu,computePCfeatures,25.67,"(1, 512)","(1680, 1680)"
./data/kernels/16910/22/main.cu,computePCfeatures,25.23,"(1, 576)","(1680, 1680)"
./data/kernels/16910/22/main.cu,computePCfeatures,27.03,"(1, 640)","(1680, 1680)"
./data/kernels/16910/22/main.cu,computePCfeatures,25.66,"(1, 704)","(1680, 1680)"
./data/kernels/16910/22/main.cu,computePCfeatures,26.13,"(1, 768)","(1680, 1680)"
./data/kernels/16910/22/main.cu,computePCfeatures,25.82,"(1, 832)","(1680, 1680)"
./data/kernels/16910/22/main.cu,computePCfeatures,25.371,"(1, 896)","(1680, 1680)"
./data/kernels/16910/22/main.cu,computePCfeatures,25.28,"(1, 960)","(1680, 1680)"
./data/kernels/16910/22/main.cu,computePCfeatures,26.24,"(1, 1024)","(1680, 1680)"
./data/kernels/16910/22/main.cu,computePCfeatures,26.53,"(8, 8)","(2024, 2024)"
./data/kernels/16910/22/main.cu,computePCfeatures,26.271,"(16, 16)","(2024, 2024)"
./data/kernels/16910/22/main.cu,computePCfeatures,25.56,"(24, 24)","(2024, 2024)"
./data/kernels/16910/22/main.cu,computePCfeatures,25.75,"(32, 32)","(2024, 2024)"
./data/kernels/16910/22/main.cu,computePCfeatures,26.74,"(1, 64)","(2024, 2024)"
./data/kernels/16910/22/main.cu,computePCfeatures,25.511,"(1, 128)","(2024, 2024)"
./data/kernels/16910/22/main.cu,computePCfeatures,26.12,"(1, 192)","(2024, 2024)"
./data/kernels/16910/22/main.cu,computePCfeatures,26.33,"(1, 256)","(2024, 2024)"
./data/kernels/16910/22/main.cu,computePCfeatures,26.65,"(1, 320)","(2024, 2024)"
./data/kernels/16910/22/main.cu,computePCfeatures,26.67,"(1, 384)","(2024, 2024)"
./data/kernels/16910/22/main.cu,computePCfeatures,26.83,"(1, 448)","(2024, 2024)"
./data/kernels/16910/22/main.cu,computePCfeatures,26.57,"(1, 512)","(2024, 2024)"
./data/kernels/16910/22/main.cu,computePCfeatures,25.17,"(1, 576)","(2024, 2024)"
./data/kernels/16910/22/main.cu,computePCfeatures,26.16,"(1, 640)","(2024, 2024)"
./data/kernels/16910/22/main.cu,computePCfeatures,25.45,"(1, 704)","(2024, 2024)"
./data/kernels/16910/22/main.cu,computePCfeatures,26.961,"(1, 768)","(2024, 2024)"
./data/kernels/16910/22/main.cu,computePCfeatures,26.14,"(1, 832)","(2024, 2024)"
./data/kernels/16910/22/main.cu,computePCfeatures,26.5,"(1, 896)","(2024, 2024)"
./data/kernels/16910/22/main.cu,computePCfeatures,25.58,"(1, 960)","(2024, 2024)"
./data/kernels/16910/22/main.cu,computePCfeatures,26.12,"(1, 1024)","(2024, 2024)"
./data/kernels/16910/23/main.cu,addback_spikes,21.21,"(8, 8)","(240, 240)"
./data/kernels/16910/23/main.cu,addback_spikes,19.67,"(16, 16)","(240, 240)"
